latitude,longitude,name
-3.626794014,39.86334904,School
-3.626772976,39.86333203,Bus stop1
-3.617489012,39.85096796,Bus stop2
-3.610049989,39.85443497,Bus stop3
-3.587519014,39.86537897,Bus stop4
-3.550783983,39.87502897,Bus stop5
-3.548685992,39.86997896,Bus stop6
-3.545935974,39.87642498,Bus stop7
-3.547842018,39.88382201,Bus stop8
-3.550327001,39.89268998,Bus stop9
-3.546868041,39.89947102,Bus stop10
-3.544767033,39.89126799,Bus stop11
-3.54104002,39.87797697,Bus stop12
-3.530991962,39.87812701,Bus stop13
-3.530226024,39.87525797,Bus stop14
-3.526992034,39.87361402,Bus stop15
-3.537040008,39.87649497,Bus stop16
-3.535982966,39.879333,Bus stop17
-3.540365025,39.87827101,Bus stop18
-3.556890031,39.87499796,Bus stop19
